ContractCode,ShortName,CallOrPut,cop,ExerciseDate,TradingDate,DeltaDays,t,o,s,k,r,iv
159919P2109M005500,300ETF沽9月5500,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,0.3818,5.276,5.5,0.015,0.2300434463061179
159919C2109M006250,300ETF购9月6250,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.032,5.276,6.25,0.015,0.22910342656630855
159919P2106M005250,300ETF沽6月5250,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0757,5.276,5.25,0.015,0.18785563698806979
159919C2106M006250,300ETF购6月6250,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.0016,5.276,6.25,0.015,0.3229463587770135
159919C2109M005000,300ETF购9月5000,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.3797,5.276,5.0,0.015,0.17393923514821297
159919C2109M005250,300ETF购9月5250,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.2407,5.276,5.25,0.015,0.18698663818324723
159919P2109M006000,300ETF沽9月6000,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,0.801,5.276,6.0,0.015,0.28205003114601845
159919P2109M004700,300ETF沽9月4700,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,0.048,5.276,4.7,0.015,0.2162720966825647
159919P2109M005250,300ETF沽9月5250,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,0.2287,5.276,5.25,0.015,0.2199202655931191
159919C2106M005750,300ETF购6月5750,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.0076,5.276,5.75,0.015,0.23899589914018957
159919P2106M006250,300ETF沽6月6250,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.9617,5.276,6.25,0.015,0.09691176501721886
159919P2106M006750,300ETF沽6月6750,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,1.4608,5.276,6.75,0.015,0.14293726348596525
159919P2109M004800,300ETF沽9月4800,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,0.0661,5.276,4.8,0.015,0.2146703928142071
159919C2109M004500,300ETF购9月4500,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.7776,5.276,4.5,0.015,0.03634464679844811
159919C2106M004300,300ETF购6月4300,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.9794,5.276,4.3,0.015,0.275782188435461
159919C2106M005000,300ETF购6月5000,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.2958,5.276,5.0,0.015,0.2109861178749417
159919P2106M006000,300ETF沽6月6000,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.7185,5.276,6.0,0.015,0.05016745253027752
159919C2106M006000,300ETF购6月6000,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.0033,5.276,6.0,0.015,0.28361062117665714
159919C2106M006500,300ETF购6月6500,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.0008,5.276,6.5,0.015,0.3564013613869589
159919P2106M004300,300ETF沽6月4300,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0005,5.276,4.3,0.015,0.3426284532974318
159919C2109M004900,300ETF购9月4900,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.4399,5.276,4.9,0.015,0.15526165323396723
159919C2109M006000,300ETF购9月6000,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.0511,5.276,6.0,0.015,0.21659060602622004
159919P2106M005000,300ETF沽6月5000,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0119,5.276,5.0,0.015,0.19379983535789252
159919C2106M006750,300ETF购6月6750,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.0006,5.276,6.75,0.015,0.4004342085603839
159919P2106M005500,300ETF沽6月5500,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.2445,5.276,5.5,0.015,0.199549539729499
159919P2106M004900,300ETF沽6月4900,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0056,5.276,4.9,0.015,0.20532649341989373
159919P2106M006500,300ETF沽6月6500,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,1.2352,5.276,6.5,0.015,0.5598897815821104
159919P2106M004400,300ETF沽6月4400,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0006,5.276,4.4,0.015,0.3139899538012676
159919P2106M004800,300ETF沽6月4800,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0026,5.276,4.8,0.015,0.21734680308682214
159919P2106M004700,300ETF沽6月4700,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0016,5.276,4.7,0.015,0.23910009364367055
159919C2106M004600,300ETF购6月4600,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.6884,5.276,4.6,0.015,0.36906841762211207
159919P2109M006250,300ETF沽9月6250,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,1.0339,5.276,6.25,0.015,0.31270949037863677
159919P2106M005750,300ETF沽6月5750,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.4711,5.276,5.75,0.015,0.1804311643568967
159919C2106M005250,300ETF购6月5250,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.109,5.276,5.25,0.015,0.19460239515584715
159919P2109M004500,300ETF沽9月4500,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,0.0239,5.276,4.5,0.015,0.2203766786545695
159919P2106M004600,300ETF沽6月4600,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0008,5.276,4.6,0.015,0.25302349786812905
159919C2109M005500,300ETF购9月5500,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.146,5.276,5.5,0.015,0.19728679725140322
159919P2109M004900,300ETF沽9月4900,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,0.0912,5.276,4.9,0.015,0.2155670196277326
159919C2109M004600,300ETF购9月4600,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.7367,5.276,4.6,0.015,0.22862656839043793
159919P2109M006500,300ETF沽9月6500,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,1.2105,5.276,6.5,0.015,0.2281100478753276
159919P2109M005750,300ETF沽9月5750,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,0.5656,5.276,5.75,0.015,0.23920480159050012
159919C2106M004700,300ETF购6月4700,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.5769,5.276,4.7,0.015,0.019741872104080932
159919P2109M004600,300ETF沽9月4600,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,0.0344,5.276,4.6,0.015,0.21856955516797705
159919P2109M006750,300ETF沽9月6750,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,1.4454,5.276,6.75,0.015,0.18637087811656858
159919C2109M004800,300ETF购9月4800,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.52,5.276,4.8,0.015,0.14870829138176317
159919P2106M004500,300ETF沽6月4500,P,1,2021-06-23,2021-06-04,19,0.052054794520547946,0.0006,5.276,4.5,0.015,0.27903733965439426
159919C2106M004900,300ETF购6月4900,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.3896,5.276,4.9,0.015,0.23293540092606757
159919C2106M004800,300ETF购6月4800,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.4643,5.276,4.8,0.015,0.008617267444799862
159919C2106M005500,300ETF购6月5500,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.0302,5.276,5.5,0.015,0.2155510040651805
159919C2106M004500,300ETF购6月4500,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.785,5.276,4.5,0.015,0.3812196128581867
159919C2109M004700,300ETF购9月4700,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.5977,5.276,4.7,0.015,0.08800202330639806
159919C2109M005750,300ETF购9月5750,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.0878,5.276,5.75,0.015,0.20832921060466036
159919C2109M006750,300ETF购9月6750,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.0159,5.276,6.75,0.015,0.26056917531082313
159919C2106M004400,300ETF购6月4400,C,0,2021-06-23,2021-06-04,19,0.052054794520547946,0.8838,5.276,4.4,0.015,0.4098799718239261
159919C2109M006500,300ETF购9月6500,C,0,2021-09-22,2021-06-04,110,0.3013698630136986,0.021,5.276,6.5,0.015,0.24227302403877457
159919P2109M005000,300ETF沽9月5000,P,1,2021-09-22,2021-06-04,110,0.3013698630136986,0.1244,5.276,5.0,0.015,0.21868124040112094
